review,rating,place_index
"3 miếng gà 105k như này khác gì 2 miếng rưỡi đâu chứ",1,0
"Thật tuyệt với gà vị rất  ngon , dịch vụ chu đáo , nhiệt tình và nhanh ,  nhất định sẽ đến nhiều lần sau",5,0
"Gà ướp vừa vị , mọng nước . Dù đông nhưng nhân viên vẫn rất vui vẻ nhiệt tình , đồ ăn đc phục vụ nhanh",5,0
"Quán sạch, đẹp, thoáng mát, nhân viên phục vụ tận tình và mấy chị quản lý rất vui vẻ với khách",5,0
"Nhân viên bự con tên Nam sáng ngày 12/03 hỗ trợ mình oder và nch nhẹ nhàng, mong quán tiếp tinh thần cho bạn hơn, tôi sẽ quay lại tiếp",5,0
"Gà giòn tan, nóng hổi, ngon. Các bạn nhân viên thì dễ thương, nhanh nhẹn.",5,0
"Gà giòn rụm, thấm vị, bên trong thịt mềm, mọng nước, đậm đà! Nhân viên thân thiện, nhanh nhẹn, gọi món chưa bao lâu đã có liền. Dịch vụ quá ổn, 5 sao! ⭐⭐⭐⭐⭐",5,0
"Nhân viên thân thiệt , ko khí thoáng mát, đồ ăn ra nhanh",5,0
"Phục vụ nhanh, nhân viên thân thiện, đồ ăn ngon. Mình sẽ quay lại lần sau",5,0
"Gà rán thì ở đâu cũng như vậy. Đó là mình khi chưa đi ăn KFC, ăn một lần mê tới giờ lun. Đặc biệt nay ăn ở Phan Huy Ích, gà đã ngon mà còn gặp bạn nhân viên siêu dễ thương, được cái mình quên mất tên ùi😭 Sẽ còn quay lại dài dài🥰",5,0
"Mình là fan KFC, gà ngon, không bị khô, thích nhất là gà cay, mình cũng rất hài lòng với cách phục vụ ở đây, các bạn phục vụ rất nhiệt tình, giá cả cũng hợp lý,",5,0
"Nhân viên phục vụ tận tình, nhanh nhẹn , nhiệt tình,  thức ăn ngon , ra nhanh",5,0
"Gà giòn ngon dù đông nhưng vẫn thấy ra món nhanh nhân viên nhiệt tình",5,0
"Mình có ghé đây ăn gà và cảm thấy gà ở đây khá ngon và giòn. Nhân viên thì thân thiện với khách. Mình sẽ quay lại ăn kfc vào một ngày khác .",5,0
"Ghé quán vào 1 buổi trưa đông đúc. Nhưng đồ ăn ra vẫn nhanh, gà nóng giòn, nhân viên thân thiện.",5,0
"Nhân viên thân thiện , đồ ăn ra nhanh , không gian thoáng mát",5,0
"Ăn nhiều brand gà rán rồi nhưng vẫn ưng KFC đặt biệt là chi nhánh Phan Huy Ích, nhân viên nhiệt tình, gà giòn mọng nước. Sẽ ghé lại vào lần sau .",5,0
"Mới ghé tại nhà hàng, đồ ăn ngon lắm nha, nv  phục vụ nhiệt tình, mê bạn nữ áo sơmi trắng tên Huỳnh tư vấn nhiệt tình, dễ thương cực.",5,0
"Đồ ăn nóng hổi, các bạn nhân viên nhiệt tình, vui vẻ với khách, bác bảo vệ tận tình. 10Đ🥰",5,0
"Ghé vào buổi tối, dù hơi đông, nên không tránh được thiếu sót, nhưng nhân viên nhiệt tình, niềm nở, gà thì nóng giòn. Vẫn quyết định cho quán 5 sao😄",5,0
"Ghé ăn trưa cùng mấy chị em văn phòng, quán mát mẻ đồ ăn lên nhanh 👍 rất hài lòng với cách phục vụ của quán, sẽ ghé nhiều lần nữa",5,0
"Mình thích món buger gà nướng của KFC nhất , hay đi học về tạt qua đường Phan Huy Ích mua cho mình với đứa em nữa. Gà mềm , vị ngon lắm nha mọi người nên thử , nhân viên cũng dễ thương nữa . Ủng hộ dài dài 🥰",5,0
"Đồ ăn nóng hổi, vị rất ngon. Nv hỗ trợ nhiệt tình và chu đáo",5,0
"Món ngon nhân viên phục vụ rất nhiệt tình và rất là dễ thương",5,0
"Gà giòn ngon nhân viên vui vẻ hong đợi lâu lắm",5,0
"Mua mang về - có đợt khuyến mãi 68k mua hết 2 lần ăn no nên luôn Chọn gà cay ngon xĩu",5,0
"quá oke lắm có anh phục dụ đẹp trai, hình như tên Hải, A.Hải ơi em yêu anh mất rùi, i love bb",5,0
"Đồ ăn ngon, nhân viên nhiệt tình",5,0
"Đồ ăn ngon khu vực sạch sẽ nhân viên nhiệt tình lm việc nhiệt tình có năng lực",5,0
"Nhân viên thân thiện, gà ngon lắm nha",5,0
"Ngon lắm mn ơi. Qua ăn thử nha. Chi nhánh này okla lắm. Nhân viên dễ thương lắm mn ạ ( nhất là bạn Ngọc Huỳnh ạ )",5,0
"Đồ ăn ngon nhân viên tư vấn nhiệt tình quán ăn sạch sẽ",5,0
"Ở đây món gà 🐔 quay ăn ngon. Gà rán KFC chỗ khác có tẩm ướp hay không thì không biết. Chỗ mình ăn thấy gà không ướp vị sẽ có người thích, người không thích. Ok nhé!",4,0
"trải nghiệm tuyệt vời, sẽ quay lại. Anh của mình là Hải thích chỗ này lắm 🥰",5,0
"Đồ ăn rất vừa miệng, nhân viên rất nhiệt tìn. Mình rất thích khoai tây chiên ở KFC",5,0
"Gà ngon thì thôi nhé. Mấy bé chào đón nhiệt tình. Sẽ ủng hộ quài quài",5,0
"Phục vụ nhanh chóng, đồ ăn ngon, nhân viên thân thiện 10đ",5,0
"Gà tươi, ngon, nhân viên nhiệt tình, phục vụ chu đáo.",5,0
"Nhận viên nhiệt tình thân thiện , không gian thoáng mát",5,0
"Quán sạch sẽ, đồ ăn nóng hổi, nhân viên nhiệt tình❤️",5,0
"Nhà hàng sạch sẽ gà ăn rất ngon mềm",5,0
"Phục vụ tốt , không gian thoáng mát, nhân viên vui vẻ nhiệt tình",5,0
"Nhà hàng sạch, mát mẻ, đồ ăn rất OK, 10đ tuyệt vời",5,0
"Gà ngon, nhân viên thân thiện phục vụ nhanh",5,0
"Nhân viên và Quản lý nhiệt tình, thân thiện và rất hiếu khách. Trải nghiệm rất tuyệt. NNH",5,0
"Đồ ăn ngon, nhân viên phục vụ rất nhiệt tình. Mình sẽ ghé quán này dài dài nha.",5,0
"Đơn giản là có thiện cảm với quán nên đánh giá 5s",5,0
"Đồ ăn ngon như mẹ nấu, mãi mãi quay lại",5,0
"Khi tôi đặt 5 cánh gà. Thì thứ tôi muốn là nhận được là 5 cánh gà. Chứ ko phải 1 cánh gà và 4 cái 'không phải cánh gà'. Nếu tôi muốn ăn đùi gà thì tôi sẽ đặt đùi gà, nên đừng tự ý thay cánh gà bằng đùi gà. Làm ăn như vậy là gian dối khách hàng",1,0
"nhà hàng sạch sẽ , thức ăn ngon , nhân viên vui vẻ nhiệt tình , có pé quản lí xinh sỉu",5,0
"Mình sẽ quay lại vì đồ ăn ngon tuyệt",5,0
"Đồ ăn vừa miệng, nhân viên nhiệt tình, sạch sẽ",5,0
"Rất là thích ăn ở đây, siêu ngon",5,0
"Đồ ăn ngon chỗ ngồi sạch sẽ nhân viên nhiệt tình",5,0
"Nhân viên dễ thương quản lý dễ thương, nói chuyện nhiệt tình vui vẻ cảm ơn rất nhiều",5,0
"KFC siêu tuyệt vời nhân viên và quản lý dễ thương thân thiện 100đ",5,0
"Bé nhân viên có bầu nói chuyện rất lịch sự và vui vẻ với khách hàng! Lúc mình ghé đông nhưng ra món cũng nhanh không đến nổi lâu như trong Aeon....Gà ngon giòn, món khoái khẩu của mình",5,0
"Đồ ăn ngon , món làm nhanh , nhân viên phục vụ nhiệt tình",5,0
"Trải nghiệm quá tuyệt vời, đồ ăn quá ngon🩷🩷🩷🩷🩷🩷🩷",5,0
"Đu, Bạn Nhân Viên Nguyễn Quốc Truyền ( Cu Bi) Hoạt Bát Nhanh Nhẹn Hỗ Trợ Kịp Thời Nhu Cầu Khách Hàng, Vote Bạn 5 Sao.",5,0
"Nhân viên nhiệt tình, chu đáo.",5,0
"Đồ ăn ngonn. Không gian sạch sẽ. Nhân viên nhiệt tình.",5,0
"Phục vụ tốt rất hài lòng",5,0
"Gọi gà nướng, bắt ngồi chờ 20’ để lấy gà nướng xong mang về mở ra là gà rán :) đau răng k ăn được phải bỏ, lần cuối đi ở đây nhé",1,0
"Trải nghiệm tuyệt vời vào 1 buổi trưa nóng bức",5,0
"Đồ ăn ngon, gà rán bên ngoài giòn trong mềm, nhân viên nhiệt tình dễ thương.",5,0
"So good, có món bánh trứng mới ngon , 61 k 4 cái",5,0
"Thanh gà trong combo mới quá dở, đừng ai gọi nhé, ăn nhiều gà đã ngắn tặng cho 2 thanh gà khô khốc cứng ngắc, ai duyệt món này z trời",2,0
"Gà ngon!!!! Tuyệt vời!!!!!! Không gian  sạch sẽ, phục vụ cực kì tốt",5,0
"Gà rán ngon ! Luôn luôn ủng hộ",5,0
"Chị quản lý xinh quá có bồ chưa nhờ mong được trả lời ạ",5,0
"Nv thân thiện, ko gian quán ok",5,0
"Đặt hàng trên Shopee food nhưng làm thiếu món, liên hệ complain để được hỗ trợ thì nói đợi check đơn nhưng hơn 30p mới giao lại món. Đói mà phải đợi lâu hết muốn ăn, nên xem lại cách training của cửa hàng.",1,0
"Nhân viên nhiệt tình dễ thương xinh đẹp",5,0
"Dịch vụ rất tốt , cô quản lý xinh đẹp dễ thương.",5,0
"Gà ngon, mình rất thích nhân viên ở đây, nhiệt tình, nên ghé ủng hộ cửa hàng",5,0
"Làm ăn cà chớn, đã đặt từ sáng sớm, còn gọi điện lên tổng đài xác nhận lại. Cuối cùng sát h giao hàng lại nói là k đủ món mình đặt, nhờ chuyển qua món khác. Sợ lunz",1,0
"Làm ăn tệ hại,bỏ tiền ra mua mà không có món mình thich,đặt đùi thi  luôn bán cánh và má đùi ga,không bao giờ khach hỏi có đùi gà,làm ăn kiểu lợi nhuận bố láo,1cửa hàng gà rán không nên ghé,1 cái quán rất nhiều nguời chê nhưng giờ mới trải nghiệm.",1,0
"Bé thu ngân dễ thương , đáng iu , xứng đáng triệu ngôi saoooo",5,0
"Quản lý siêu dễ thương ❤️, nhân viên thân thiện. Amazing !!",5,0
"Quản lí dễ thương nhân viên nhiệt tình nơi đáng để trãi nghiệm",5,0
